"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"3592";"click_pagina";"{""id_desafio"":1,""data"":{""pagina"":4}}";"2019-10-15 15:23:53";"usuario78"
"3593";"click_recomendar";"{""id_desafio"":2,""data"":{""texto"":""recomendado"",""id_SERP"":74}}";"2019-10-15 15:23:53";"usuario80"
"3594";"click_pagina";"{""id_desafio"":2,""data"":{""pagina"":4}}";"2019-10-15 15:23:55";"usuario80"
"3595";"click_SERP_ver";"{""id_desafio"":3,""data"":{""url"":""https://www.taringa.net/+autos_motos/como-construir-tu-propio-auto-electrico-matias270298_ucn8z"",""id_SERP"":136}}";"2019-10-15 15:23:56";"usuario82"
"3596";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":25}}";"2019-10-15 15:23:56";"usuario78"
"3597";"click_entrar";"{""id_desafio"":2}";"2019-10-15 15:23:56";"usuario10"
"3598";"click_SERP_ver";"{""id_desafio"":2,""data"":{""url"":""https://www.nationmaster.com/country-info/profiles/Chile/Crime"",""id_SERP"":56}}";"2019-10-15 15:23:57";"usuario109"
"3599";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 15:23:57";"usuario57"
"3600";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 15:23:57";"usuario57"
"3601";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":22}}";"2019-10-15 15:23:58";"usuario78"
"3602";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":1}}";"2019-10-15 15:23:58";"usuario81"
"3603";"click_entrar_confirmado";"{""id_desafio"":2}";"2019-10-15 15:23:58";"usuario10"
"3604";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":4}}";"2019-10-15 15:23:59";"usuario86"
"3605";"click_iniciar_desafio";"{""id_desafio"":2}";"2019-10-15 15:24:00";"usuario10"
"3606";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""NO_recomendado"",""id_SERP"":22}}";"2019-10-15 15:24:00";"usuario78"
"3607";"click_finalizar_desafio";"{""id_desafio"":3}";"2019-10-15 15:24:01";"usuario82"
"3608";"click_finalizar_desafio";"{""id_desafio"":3}";"2019-10-15 15:24:01";"usuario81"
"3609";"click_iniciar_desafio_confirmado";"{""id_desafio"":2}";"2019-10-15 15:24:01";"usuario10"
"3610";"click_enviar_posttest";"{""id_desafio"":2,""dato"":{""id_pretest"":3,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-15 15:24:02";"usuario100"
"3611";"click_enviar_posttest";"{""id_desafio"":2,""dato"":{""id_pretest"":4,""respuesta"":""Policías\nseguridad\nentorno\nleyes\nEmpatía\nCiudadanos\nGobierno\nPoliticas\nPlanes\n"",""tipo"":""text""}}";"2019-10-15 15:24:02";"usuario100"
"3612";"click_enviar_posttest";"{""id_desafio"":2,""dato"":{""id_pretest"":4,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-15 15:24:02";"usuario100"
"3613";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":21}}";"2019-10-15 15:24:02";"usuario78"
"3614";"click_finalizar_desafio_confirmado";"{""id_desafio"":3}";"2019-10-15 15:24:02";"usuario81"
"3615";"click_enviar_posttest_confirmado";;"2019-10-15 15:24:03";"usuario100"
"3616";"click_finalizar_desafio_confirmado";"{""id_desafio"":3}";"2019-10-15 15:24:03";"usuario82"
"3617";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""NO_recomendado"",""id_SERP"":21}}";"2019-10-15 15:24:05";"usuario78"
"3618";"click_pagina";"{""id_desafio"":3,""data"":{""pagina"":3}}";"2019-10-15 15:24:05";"usuario9"
"3619";"click_enviar_posttest";"{""id_desafio"":1,""dato"":{""id_pretest"":3,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-15 15:24:05";"usuario92"
"3620";"click_enviar_posttest";"{""id_desafio"":1,""dato"":{""id_pretest"":4,""respuesta"":""VIH\nTest\nETS\nEnfermedad\n"",""tipo"":""text""}}";"2019-10-15 15:24:05";"usuario92"
"3621";"click_enviar_posttest_confirmado";;"2019-10-15 15:24:06";"usuario92"
"3622";"click_pagina";"{""id_desafio"":1,""data"":{""pagina"":5}}";"2019-10-15 15:24:07";"usuario78"
"3623";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":122}}";"2019-10-15 15:24:07";"usuario86"
"3624";"click_recomendar";"{""id_desafio"":1,""data"":{""texto"":""recomendado"",""id_SERP"":38}}";"2019-10-15 15:24:11";"usuario78"
"3625";"click_finalizar_desafio";"{""id_desafio"":1}";"2019-10-15 15:24:14";"usuario78"
"3626";"click_salir";;"2019-10-15 15:24:14";"usuario92"
"3627";"click_entrar";"{""id_desafio"":1}";"2019-10-15 15:24:14";"usuario100"
"3628";"click_iniciar_desafio";"{""id_desafio"":3}";"2019-10-15 15:24:15";"usuario74"
"3629";"click_finalizar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 15:24:15";"usuario78"
"3630";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-15 15:24:15";"usuario100"
"3631";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":129}}";"2019-10-15 15:24:16";"usuario9"
"3632";"click_iniciar_desafio_confirmado";"{""id_desafio"":3}";"2019-10-15 15:24:16";"usuario74"
"3633";"click_SERP_titulo";"{""id_desafio"":2,""data"":{""url"":""https://www.eldefinido.cl/actualidad/pais/7806/Mas-delincuencia-en-Chile-Los-datos-de-la-percepcion-versus-la-realidad/"",""id_SERP"":59}}";"2019-10-15 15:24:17";"usuario80"
"3634";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-15 15:24:18";"usuario100"
"3635";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 15:24:19";"usuario100"
"3636";"click_guardar";"{""id_desafio"":2,""data"":{""texto"":""guardado"",""id_SERP"":59}}";"2019-10-15 15:24:20";"usuario80"
"3637";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":127}}";"2019-10-15 15:24:20";"usuario9"
"3638";"click_pagina";"{""id_desafio"":2,""data"":{""pagina"":5}}";"2019-10-15 15:24:21";"usuario80"
"3639";"cerrar_pagina";"53b8de0f-";"2019-10-15 15:24:21";"usuario101"
"3640";"click_recomendar";"{""id_desafio"":3,""data"":{""texto"":""recomendado"",""id_SERP"":130}}";"2019-10-15 15:24:23";"usuario86"
"3641";"click_SERP_titulo";"{""id_desafio"":2,""data"":{""url"":""https://blogs.iadb.org/seguridad-ciudadana/es/tecnologia-contra-el-crimen-entusiasmo-con-criterio/"",""id_SERP"":70}}";"2019-10-15 15:24:23";"usuario80"
"3642";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""1"",""tipo"":""checkbox""}}";"2019-10-15 15:24:23";"usuario57"
